"",,,,,,,,
28.6,22.6,31.0,26.9,-0.06,[-6.11 to 0.45],0.09,-6.11,0.45
28.4,22.9,31.7,27.5,-0.07,[-6.74 to 0.20],0.07,-6.74,0.20
"",,,,,,,,
21.5,20.6,22.4,20.5,-0.02,[-3.61 to 1.88],0.54,-3.61,1.88
21.2,20.7,22.3,20.6,-0.03,[-3.94 to 1.72],0.44,-3.94,1.72
""
